Transaction_ID,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Total_Amount,Profit,Sales_Date,Order_Date,Shipping_Date,Payment_Method,Sales_Channel,City,State,Region
T00031,C5710,Tara Gonzales,P163,Jacket,Clothing,3,36670.27,5129.87,104880.94,17578.9,2025-01-30,2025-01-30,2025-02-04,Debit Card,Online,New Mirandaborough,North Dakota,West
T00032,C2899,Tina Rodriguez,P251,Comics,Books,5,23986.08,6260.58,113669.82,22510.66,2024-09-15,2024-09-15,2024-09-18,Net Banking,Online,Erinland,Delaware,East
T00033,C7193,Timothy Oneal,P442,Magazine,Books,9,9183.73,410.83,82242.74,9402.64,2025-10-19,2025-10-19,2025-10-20,Cash,Offline,North Brenda,Maryland,North
T00034,C5558,Christopher Huerta,P956,Jacket,Clothing,4,20232.85,3575.68,77355.72,16382.74,2024-05-30,2024-05-30,2024-05-31,Cash,Online,Holderbury,North Carolina,South
T00035,C3981,Kari Jackson,P848,Monitor,Electronics,5,27460.05,176.76,137123.49,13230.46,2025-07-14,2025-07-14,2025-07-16,Cash,Offline,Port Brianmouth,Rhode Island,West
T00036,C6349,unknown value,P205,Curtains,Home,3,45880.13,11259.63,126380.76,30796.9,2024-03-23,2024-03-23,2024-03-26,Net Banking,Offline,Calebland,Minnesota,North
T00037,C2186,Jason Turner,P425,Hoodie,Clothing,5,20806.27,5008.06,99023.29,23037.4,2024-07-19,2024-07-19,2024-07-21,Net Banking,Online,New Yolandaland,Iowa,East
T00038,C5474,Joshua Lopez,P401,Monitor,Electronics,10,29225.9,5173.53,287085.47,60075.14,2024-04-10,2024-04-10,2024-04-15,Upi,Online,STEPHENBURY,Alabama,South
T00039,C3108,Collin Fischer,P707,Magazine,Books,6,29715.75,2201.31,176093.19,28489.21,2025-04-21,2025-04-21,2025-04-26,Credit Card,Offline,Vargasport,Montana,East
T00040,C7033,Steven Ortiz,P518,unknown column,Clothing,4,44208.87,10276.84,166558.64,25894.51,2025-04-14,2025-04-14,2025-04-20,Debit Card,Online,Mcgeestad,Mississippi,West
T00041,C1750,Matthew Cox,P298,Curtains,Home,3,3764.81,498.57,10795.86,671.11,2025-11-19,2025-11-19,2025-11-23,Debit Card,Offline,Port Davidton,West Virginia,South
T00042,C2012,Rebecca Liu,P421,Jacket,Clothing,7,9054.42,254.45,63126.49,7790.39,2024-09-24,2024-09-24,2024-09-29,Net Banking,Online,Wellstown,Iowa,North
T00043,C6729,Angela Kennedy,P392,Lamp,Home,9,31319.59,6834.67,275041.64,26933.63,2025-06-20,2025-06-20,2025-06-26,Debit Card,Online,Wilkinsonberg,Nebraska,West
T00044,C1473,Anthony Elliott,P543,Hoodie,Clothing,3,42736.63,4000.09,124209.8,18370.27,2025-09-20,2025-09-20,2025-09-26,Upi,Offline,Mariahaven,Oklahoma,South
T00045,C7256,Steven Gillespie,P435,Jacket,Clothing,1,28110.02,6789.22,21320.8,4751.42,2025-01-27,2025-01-27,2025-01-28,Credit Card,Offline,Courtneyside,South Dakota,East
T00046,C1869,Eric Mckay,P416,Shoes,Clothing,8,23825.59,5468.38,185136.34,29427.75,2025-03-27,2025-03-27,2025-03-31,Upi,Offline,Laneview,New Hampshire,South
T00047,C4648,Eric Ashley,P331,Mouse,Electronics,1,7731.31,595.77,7135.54,1600.33,2025-04-25,2025-04-25,2025-04-29,Net Banking,Online,New Tinabury,Colorado,East
T00048,C5689,John Waller,P923,T-Shirt,Clothing,2,20285.03,3558.71,37011.35,7705.88,2025-07-26,2025-07-26,2025-08-01,Credit Card,Online,Michellechester,Delaware,North
T00049,C7960,Vanessa Hernandez,P752,Notebook,Books,8,14156.16,1657.38,111591.9,17560.68,2024-01-05,2024-01-05,2024-01-12,Upi,Offline,Juarezview,Rhode Island,East
T00050,C5552,Jason Flores,P972,unknown column,Electronics,2,24739.67,291.78,49187.56,4999.2,2024-11-17,2024-11-17,2024-11-19,Cash,Offline,New Brandi,Hawaii,South
T00051,C9331,Thomas Turner,P216,Shoes,Clothing,5,28850.8,7843.7,136410.3,26176.63,2025-06-05,2025-06-05,2025-06-08,Debit Card,Online,Lake Justinborough,Maine,East
T00052,C9114,Lindsey Ward,P316,Dictionary,Books,5,29185.86,5196.56,140732.74,13026.56,2024-03-26,2024-03-26,2024-03-28,Debit Card,Offline,Lake Jessica,Louisiana,East
T00053,C3257,Amanda Shaw,P905,Curtains,Home,9,698.53,208.73,6078.04,690.4,2024-11-18,2024-11-18,2024-11-20,Cash,Offline,Port Luke,Oklahoma,East
T00054,C6668,Melissa Sullivan,P629,Headphones,Electronics,7,6088.37,697.17,41921.42,6592.52,2024-01-24,2024-01-24,2024-01-25,Credit Card,Offline,Marcoborough,Colorado,East
T00055,C4352,Haley Myers,P932,Notebook,Books,6,22114.64,6079.08,126608.76,10455.78,2024-12-15,2024-12-15,2024-12-21,Cash,Offline,Williamsville,Oregon,East
T00056,C2856,Tammy Smith,P781,Table,Home,5,32593.08,4845.99,158119.41,30897.52,2025-07-10,2025-07-10,2025-07-13,Credit Card,Online,Chenland,Idaho,East
T00057,C3427,Cameron Edwards Jr.,P618,T-Shirt,Clothing,8,23810.81,3138.15,187348.33,25940.11,2024-03-06,2024-03-06,2024-03-11,Upi,Online,Smithville,Florida,West
T00058,C1910,Christopher Austin,P419,Magazine,Books,2,40841.76,10497.73,71185.79,7975.65,2025-04-12,2025-04-12,2025-04-15,Cash,Offline,New Daniel,North Dakota,South
T00059,C6205,Laura Holloway,P927,Novel,Books,1,48042.77,10605.94,37436.83,2923.2,2024-12-04,2024-12-04,2024-12-06,Cash,Online,New Patricia,Wisconsin,West
T00060,C4034,David Thomas,P826,Headphones,Electronics,10,29295.57,507.0,292448.7,52875.19,2025-08-28,2025-08-28,2025-09-01,Net Banking,Offline,Williamsfurt,Michigan,South
T00061,C5740,Denise Clark,P514,Magazine,Books,1,30157.85,1007.88,29149.97,6524.96,2025-11-02,2025-11-02,2025-11-09,Credit Card,Offline,North Melissa,Washington,East
T00062,C3390,Randy Smith,P152,Jacket,Clothing,3,24968.77,6539.57,68366.74,11100.71,2024-09-05,2024-09-05,2024-09-08,Cash,Offline,New Garrettville,Nevada,West
T00063,C7781,Christine Garrison,P527,T-Shirt,Clothing,8,6675.34,981.82,52420.9,7044.56,2024-11-13,2024-11-13,2024-11-14,Net Banking,Offline,Hectorfort,New York,North
T00064,C6382,Aaron Hernandez,P408,Jacket,Clothing,5,31279.61,7896.55,148501.5,20622.79,2025-07-28,2025-07-28,2025-08-04,Credit Card,Offline,East Gloriastad,Pennsylvania,West
T00065,C8721,Mary Rice,P977,Table,Home,3,40320.21,1088.33,119872.3,14301.52,2025-12-18,2025-12-18,2025-12-23,Debit Card,Offline,Martinezview,Texas,East
T00066,C8173,Whitney Powers,P863,Novel,Books,4,45630.42,13593.83,168927.85,18525.64,2025-08-17,2025-08-17,2025-08-19,Cash,Online,Andrewshire,Kansas,East
T00067,C5551,Jennifer Johnson,P771,Novel,Books,10,35722.62,4596.17,352630.03,19657.11,2024-06-05,2024-06-05,2024-06-07,Unknown,Online,Lake Debbie,Louisiana,East
T00068,C2480,Taylor Garcia,P839,Laptop,Electronics,2,38342.14,9104.28,67580.0,14882.33,2025-03-25,2025-03-25,2025-03-31,Upi,Offline,Whitakerborough,Mississippi,West
T00069,C4548,Richard David,P393,Table,Home,2,48503.79,2770.7,94236.88,13444.19,2025-04-21,2025-04-21,2025-04-22,Credit Card,Offline,unkown column,Oregon,West
T00070,C6506,Dustin Orozco,P510,Jacket,Clothing,9,25639.49,7223.94,223531.47,38453.46,2024-11-06,2024-11-06,2024-11-09,Net Banking,Online,Hebertshire,Louisiana,South
T00071,C1332,Kevin Martin,P377,Comics,Books,4,25029.07,41.0,100075.28,16679.53,2025-02-28,2025-02-28,2025-03-03,Upi,Online,Barrtown,Florida,North
T00072,C6119,Daniel Oneill,P736,Jeans,Clothing,9,24026.73,1768.54,214472.03,42737.13,2025-07-13,2025-07-13,2025-07-19,Debit Card,Online,Port Richard,Pennsylvania,West
T00073,C7090,Robert Meadows,P562,Monitor,Electronics,6,15825.61,1229.34,93724.32,17900.48,2024-08-27,2024-08-27,2024-09-03,Cash,Offline,Stephensonton,New York,South
T00074,C4968,Anna Bowers,P105,Magazine,Books,4,10702.02,2745.93,40062.15,8171.9,2024-05-20,2024-05-20,2024-05-26,Cash,Offline,Duncanhaven,South Carolina,North
T00075,C6743,Jade Oliver,P504,Jeans,Clothing,2,46710.42,11239.98,82180.86,15356.75,2025-09-16,2025-09-16,2025-09-17,Upi,Online,Johnbury,South Carolina,West
T00076,C4154,Karina Lynn,P876,Shoes,Clothing,2,35891.8,5781.16,66002.44,13111.84,2025-05-24,2025-05-24,2025-05-29,Credit Card,Offline,Port Joshuafort,Mississippi,South
T00077,C4660,Erica Joseph,P867,T-Shirt,Clothing,4,16358.87,1311.82,64123.66,9735.48,2024-11-18,2024-11-18,2024-11-23,Credit Card,Offline,Carlsontown,Iowa,South
T00078,C3078,Jeffrey Richardson,P286,Mouse,Electronics,3,49261.76,547.34,147237.94,29696.03,2024-06-28,2024-06-28,2024-06-30,Debit Card,Online,Port Jonathantown,Mississippi,South
T00079,C1306,Marie Nelson,P651,T-Shirt,Clothing,6,14533.03,1567.94,85630.24,6291.57,2025-05-02,2025-05-02,2025-05-06,Cash,Online,North Donna,Massachusetts,South
T00080,C2675,Nancy Winters,P394,Novel,Books,7,32674.03,7143.44,221574.77,14254.17,2024-04-22,2024-04-22,2024-04-26,Credit Card,Online,New Rebecca,California,East
T00081,C3310,Anita Lee,P728,Shoes,Clothing,6,21957.88,2894.89,128852.39,13897.39,2024-07-13,2024-07-13,2024-07-19,Upi,Online,Lake Michael,North Dakota,West
T00082,C9391,Ashley Vasquez,P304,Lamp,Home,4,45468.94,2099.48,179776.28,39540.94,2024-01-25,2024-01-25,2024-01-30,Net Banking,Online,Lake Paigestad,Indiana,North
T00083,C9704,Dean Vega,P538,Mouse,Electronics,6,24691.94,31.7,148119.94,14829.48,2025-09-24,2025-09-24,2025-09-27,Upi,Offline,South John,Maine,North
T00084,C7632,Deanna Byrd,P381,Lamp,Home,5,49321.71,5919.5,240689.05,24196.62,2024-04-26,2024-04-26,2024-04-28,Debit Card,Offline,NATHANBURGH,New Mexico,North
T00085,C4998,John Smith,P780,Comics,Books,1,36278.06,8236.93,28041.13,6519.56,2024-09-06,2024-09-06,2024-09-13,Debit Card,Offline,Lake Sharon,Minnesota,South
T00086,C3122,Zachary Hall,P610,Comics,Books,2,33654.58,5100.86,62208.3,14206.0,2024-05-09,2024-05-09,2024-05-12,Credit Card,Online,Ryanberg,Kentucky,West
T00087,C8056,William Pitts,P383,Notebook,Books,4,17336.05,1174.31,68169.89,13058.68,2025-12-20,2025-12-20,2025-12-21,Cash,Offline,New Jamesfort,Tennessee,East
T00088,C3384,Jason Glover,P865,Shoes,Clothing,4,16234.77,2375.19,62563.89,8636.27,2025-09-19,2025-09-19,2025-09-22,Net Banking,Offline,South Vernonbury,Ohio,South
T00089,C4009,Rebecca Deleon,P333,Jeans,Clothing,7,13237.61,3363.94,89299.33,16996.08,2024-08-09,2024-08-09,2024-08-15,Unknown,Online,Simmonstown,Oregon,East
T00090,C7144,unknown value,P665,Sofa,Home,9,47962.85,874.85,430790.8,36760.09,2024-09-16,2024-09-16,2024-09-22,Upi,Offline,South Ariana,Illinois,North
T00091,C8546,Larry Casey,P600,Headphones,Electronics,7,38543.48,8740.2,261064.16,64805.9,2024-02-07,2024-02-07,2024-02-08,Cash,Online,North Kari,West Virginia,South
T00092,C7200,Allen Cox,P464,Jacket,Clothing,6,35036.11,2058.67,208157.99,24107.87,2024-04-28,2024-04-28,2024-05-01,Debit Card,Online,Susanport,Virginia,South
T00093,C9569,Annette Martinez,P158,Jeans,Clothing,8,40730.31,7227.0,318615.48,18157.62,2025-12-13,2025-12-13,2025-12-19,Upi,Offline,New Stacy,Nevada,North
T00094,C7226,Scott Richardson,P951,Lamp,Home,5,31184.04,373.47,155546.73,35290.91,2024-07-12,2024-07-12,2024-07-13,Net Banking,Online,South Dale,Hawaii,North
T00096,C5343,Kenneth Griffith,P950,Comics,Books,4,4270.23,41.08,17039.84,3964.88,2024-01-10,2024-01-10,2024-01-14,Cash,Online,North Isaiahmouth,Louisiana,North
T00097,C8023,Randy Hicks,P973,Dictionary,Books,9,44360.17,13018.98,386222.55,75223.66,2025-02-07,2025-02-07,2025-02-10,Net Banking,Online,Christyshire,Hawaii,East
T00098,C3952,Theresa Robertson,P514,Magazine,Books,8,36743.26,10116.86,283829.22,24858.74,2024-10-08,2024-10-08,2024-10-11,Upi,Offline,Weststad,Utah,West
T00099,C5374,Gabriel Torres,P905,Laptop,Electronics,6,34440.53,10296.01,196347.17,10566.62,2025-06-13,2025-06-13,2025-06-14,Debit Card,Online,Alyssaburgh,Iowa,South
T00100,C7578,David Adams,P999,Comics,Books,7,23936.26,5127.75,162426.07,23299.84,2025-11-04,2025-11-04,2025-11-05,Net Banking,Offline,Lake Brittany,Tennessee,East
T00101,C7763,Jessica Singh,P174,Keyboard,Electronics,5,29170.1,8602.95,137247.55,10081.05,2025-02-24,2025-02-24,2025-02-28,Net Banking,Online,Mitchellborough,South Dakota,East
T00102,C7908,Leonard Herrera,P952,Monitor,Electronics,6,31914.85,4894.48,186594.62,27517.54,2025-04-22,2025-04-22,2025-04-23,Unknown,Offline,Lake Michaelmouth,Wisconsin,South
T00103,C2672,Amy Rose,P413,Headphones,Electronics,1,18173.0,1543.7,16629.3,4094.38,2024-01-10,2024-01-10,2024-01-14,Net Banking,Online,Perezville,Ohio,West
T00104,C5112,Charles Walls,P685,Novel,Books,4,18713.4,3755.05,71098.55,12842.14,2024-05-24,2024-05-24,2024-05-28,Cash,Offline,New Jennifer,Michigan,West
T00105,C3731,Keith Smith,P459,Chair,Home,5,8082.37,1035.34,39376.51,9265.2,2025-02-07,2025-02-07,2025-02-10,Credit Card,Offline,Beckerstad,Tennessee,West
T00106,C4490,Jacqueline Sexton,P527,Dictionary,Books,4,31199.12,4755.33,120041.15,8904.28,2025-03-28,2025-03-28,2025-03-31,Upi,Offline,West Timothyport,Texas,East
T00107,C8349,James Jenkins,P116,unknown column,Clothing,9,891.69,24.53,8000.68,1540.08,2025-06-29,2025-06-29,2025-07-01,Credit Card,Online,West Timothyfurt,California,West
T00108,C8553,Colleen Lloyd,P230,Jacket,Clothing,6,11552.48,576.71,68738.17,4804.26,2024-02-03,2024-02-03,2024-02-08,Upi,Offline,Lake Rodney,Alaska,South
T00109,C9023,Linda Mason,P583,Notebook,Books,7,30898.11,5155.93,211130.84,43153.85,2024-10-04,2024-10-04,2024-10-07,Debit Card,Offline,Lewistown,Connecticut,West
T00110,C4552,Johnny Castillo,P580,Dictionary,Books,9,28885.85,2828.56,257144.09,49096.69,2024-02-08,2024-02-08,2024-02-14,Net Banking,Offline,Port Ryan,Massachusetts,East
T00111,C7670,Bethany Ortiz,P628,Headphones,Electronics,8,7213.06,1153.18,56551.3,8515.69,2024-08-29,2024-08-29,2024-09-03,Credit Card,Offline,Rodriguezview,Virginia,North
T00112,C9011,Nicholas David,P390,Keyboard,Electronics,5,25202.41,2355.8,123656.25,14837.98,2024-08-31,2024-08-31,2024-09-02,Upi,Online,Grayhaven,Wyoming,East
T00113,C8251,Allison Miller,P757,Laptop,Electronics,7,13114.98,670.18,91134.68,11244.29,2025-09-03,2025-09-03,2025-09-04,Upi,Offline,West Katherine,Kansas,East
T00114,C7951,Megan Sullivan,P592,unknown column,Electronics,7,30835.11,4181.87,211663.9,43796.62,2025-02-01,2025-02-01,2025-02-08,Debit Card,Online,Port Kristen,Massachusetts,West
T00115,C4334,Lawrence Brooks,P855,Comics,Books,10,18889.14,1281.72,187609.68,28080.54,2025-11-14,2025-11-14,2025-11-17,Net Banking,Offline,South Courtney,Nevada,South
T00116,C5778,Nathan Stark,P522,Comics,Books,9,47473.29,11987.51,415272.1,77166.73,2024-05-08,2024-05-08,2024-05-15,Upi,Online,Lake Alexis,Wyoming,East
T00117,C6281,Michele Stone,P348,Sofa,Home,9,44550.81,10248.52,390708.77,56264.95,2025-06-25,2025-06-25,2025-06-29,Net Banking,Offline,West Justinport,Alaska,West
T00118,C6895,Kevin Morrow,P358,Laptop,Electronics,6,33779.25,5969.63,196705.87,46760.14,2024-11-12,2024-11-12,2024-11-18,Upi,Offline,South Beth,Michigan,West
T00119,C9633,unknown value,P235,Notebook,Books,6,20555.17,3495.26,119835.76,15899.42,2024-09-29,2024-09-29,2024-10-03,Debit Card,Offline,Port Emilyview,Rhode Island,North
T00120,C3773,Kathleen Rice,P448,Comics,Books,10,41887.28,325.34,418547.46,24463.91,2024-12-02,2024-12-02,2024-12-04,Net Banking,Online,West Jill,Hawaii,North
T00121,C7103,Mary Diaz,P220,Comics,Books,9,44971.23,9462.56,395278.51,59979.72,2024-09-26,2024-09-26,2024-10-02,Credit Card,Offline,Jamesbury,Arizona,South
T00122,C9196,Bridget Brown,P109,Table,Home,5,4895.47,1140.12,23337.23,2894.85,2025-09-10,2025-09-10,2025-09-13,Debit Card,Offline,Morrisview,New Jersey,North
T00123,C6689,Thomas Wright,P555,Shoes,Clothing,4,21862.71,5028.19,82422.65,10478.61,2024-02-07,2024-02-07,2024-02-08,Cash,Online,New John,Vermont,South
T00124,C9334,Adam Ellis,P316,Hoodie,Clothing,8,47768.13,2458.43,379686.61,51212.45,2024-02-23,2024-02-23,2024-02-29,Cash,Online,South Matthew,Iowa,West
T00125,C1605,Cassidy Smith,P708,Novel,Books,4,26461.63,5807.38,100039.14,24581.78,2025-06-04,2025-06-04,2025-06-09,Debit Card,Offline,Port Jonathan,Montana,East
T00126,C9569,Larry Dillon,P633,T-Shirt,Clothing,8,31920.72,3676.1,251689.66,54662.46,2024-03-12,2024-03-12,2024-03-13,Cash,Online,East Wendy,Pennsylvania,South
T00127,C9239,Jim Ferguson,P742,Curtains,Home,7,42577.65,9670.79,288372.76,45455.09,2024-09-26,2024-09-26,2024-09-30,Debit Card,Online,Michaelfurt,North Carolina,East
T00128,C8847,Jessica Johnson,P484,Jacket,Clothing,8,16474.43,1730.68,130064.76,32269.09,2025-06-11,2025-06-11,2025-06-13,Credit Card,Online,North Danielmouth,New Jersey,North
T00129,C5125,Andrea Espinoza,P297,Comics,Books,7,112.06,17.15,767.27,53.65,2024-12-11,2024-12-11,2024-12-18,Net Banking,Offline,Lake Codyside,Florida,South
T00130,C4039,Joshua Hughes,P476,Laptop,Electronics,5,31661.9,7199.91,151109.59,13817.46,2025-05-24,2025-05-24,2025-05-31,Upi,Offline,North Victoria,Mississippi,South
T00131,C7113,Melissa Wallace,P173,Chair,Home,4,3405.47,729.21,12892.67,843.62,2025-12-26,2025-12-26,2026-01-02,Upi,Online,Millsbury,Nebraska,West
T00132,C2172,Linda Robinson,P813,T-Shirt,Clothing,1,23796.07,1227.78,22568.29,4019.02,2025-04-18,2025-04-18,2025-04-20,Credit Card,Offline,Jasonton,Nebraska,West
T00133,C8544,unknown value,P245,Novel,Books,9,38978.17,11341.49,339462.04,81231.13,2024-04-12,2024-04-12,2024-04-18,Upi,Offline,North Nicholasmouth,Tennessee,East
T00134,C7684,Dr. Mary Jackson DVM,P247,Magazine,Books,7,6630.7,860.85,45554.05,5165.22,2024-06-22,2024-06-22,2024-06-27,Net Banking,Offline,East Ivanland,Louisiana,East
T00135,C5235,Jordan Rodriguez,P621,Table,Home,10,22959.5,6130.7,223464.3,15875.89,2025-04-10,2025-04-10,2025-04-15,Upi,Offline,Strongton,New Jersey,South
T00136,C6465,Joshua Rogers,P778,Laptop,Electronics,6,3005.69,704.01,17330.13,1525.11,2024-08-10,2024-08-10,2024-08-14,Credit Card,Online,South Carla,Mississippi,West
T00137,C6897,Brenda Payne,P461,Comics,Books,9,27576.32,325.26,247861.62,38421.05,2024-10-25,2024-10-25,2024-10-29,Debit Card,Online,Gabrielleside,New York,South
T00138,C9234,unknown value,P153,Jeans,Clothing,6,22293.08,4200.68,129557.8,31653.29,2025-02-27,2025-02-27,2025-03-06,Net Banking,Online,Dannyview,South Dakota,West
T00139,C4555,Nicole Mcintyre,P839,unknown column,Electronics,3,7614.21,1990.11,20852.52,4632.39,2024-09-30,2024-09-30,2024-10-02,Credit Card,Offline,Popeborough,Oregon,South
T00140,C4673,Shelia Harris,P406,Chair,Home,5,12298.78,1393.92,60099.98,5185.53,2025-01-22,2025-01-22,2025-01-23,Cash,Offline,Crossland,Pennsylvania,West
T00141,C1733,Kenneth Hernandez,P127,Monitor,Electronics,5,31824.18,1258.31,157862.59,18103.12,2024-09-17,2024-09-17,2024-09-22,Upi,Offline,Bankshaven,Colorado,West
T00142,C5031,David Gonzalez,P218,Table,Home,8,14212.33,4145.86,109552.78,26570.61,2025-04-21,2025-04-21,2025-04-27,Cash,Offline,Carolynstad,New Jersey,North
T00143,C9688,Christine Solomon,P828,T-Shirt,Clothing,4,49073.21,9497.91,186794.93,40388.46,2025-03-15,2025-03-15,2025-03-22,Net Banking,Offline,Chelseachester,Utah,West
T00144,C2584,Carmen Lewis,P322,Hoodie,Clothing,9,33492.3,179.84,301250.86,42819.49,2024-12-12,2024-12-12,2024-12-14,Net Banking,Offline,Michaelside,Maine,South
T00146,C4580,Timothy Woodard,P923,Jacket,Clothing,9,28644.52,2991.79,254808.89,41491.26,2024-12-05,2024-12-05,2024-12-07,Upi,Online,Whiteheadport,Idaho,East
T00147,C8244,Mary Jones,P940,Keyboard,Electronics,5,23017.82,6140.61,108948.49,14972.67,2024-07-21,2024-07-21,2024-07-27,Debit Card,Online,Josephhaven,South Carolina,West
T00148,C8804,Ryan Allen,P505,Notebook,Books,1,4842.44,1250.51,3591.93,818.48,2024-12-23,2024-12-23,2024-12-26,Credit Card,Offline,unkown column,Ohio,North
